District,Location,School Type,Category,Composition,Number,Population,No/100000
Dadu,Total,Secondary,ENROLMENT,MALE,23604,"1,550,266",1522.577416
Dadu,Total,Secondary,ENROLMENT,FEMALE,14697,"1,550,266",948.0308541
Dadu,Total,Secondary,TEACHING STAFF,TOTAL,1380,"1,550,266",89.0169816
Dadu,Total,Secondary,TEACHING STAFF,MALE,1014,"1,550,266",65.40812996
Dadu,Total,Secondary,TEACHING STAFF,FEMALE,366,"1,550,266",23.60885164
Dadu,Total,Higher secondary,INSTITUTIONS,TOTAL,15,"1,550,266",0.967575887
Dadu,Total,Higher secondary,INSTITUTIONS,MALE,4,"1,550,266",0.258020237
Dadu,Total,Higher secondary,INSTITUTIONS,FEMALE,2,"1,550,266",0.129010118
Dadu,Total,Higher secondary,INSTITUTIONS,MIXED,9,"1,550,266",0.580545532
Dadu,Total,Higher secondary,ENROLMENT,TOTAL,13077,"1,550,266",843.5326583
Dadu,Total,Higher secondary,ENROLMENT,MALE,9421,"1,550,266",607.7021621
Dadu,Total,Higher secondary,ENROLMENT,FEMALE,3656,"1,550,266",235.8304962
Dadu,Total,Higher secondary,TEACHING STAFF,TOTAL,401,"1,550,266",25.86652871
Dadu,Total,Higher secondary,TEACHING STAFF,MALE,305,"1,550,266",19.67404304
Dadu,Total,Higher secondary,TEACHING STAFF,FEMALE,96,"1,550,266",6.192485677
Hyderabad,Urban,Primary,INSTITUTIONS,TOTAL,289,"2,199,463",13.13957089
Hyderabad,Urban,Primary,INSTITUTIONS,MALE,43,"2,199,463",1.955022658
Hyderabad,Urban,Primary,INSTITUTIONS,FEMALE,37,"2,199,463",1.682228799
Hyderabad,Urban,Primary,INSTITUTIONS,MIXED,209,"2,199,463",9.50231943
Hyderabad,Urban,Primary,ENROLMENT,TOTAL,39809,"2,199,463",1809.94179
Hyderabad,Urban,Primary,ENROLMENT,MALE,20878,"2,199,463",949.2316988
Hyderabad,Urban,Primary,ENROLMENT,FEMALE,18931,"2,199,463",860.7100915
Hyderabad,Urban,Primary,TEACHING STAFF,TOTAL,2105,"2,199,463",95.70517895
Hyderabad,Urban,Primary,TEACHING STAFF,MALE,1078,"2,199,463",49.01196337
Hyderabad,Urban,Primary,TEACHING STAFF,FEMALE,1027,"2,199,463",46.69321557
Hyderabad,Urban,Middle,INSTITUTIONS,TOTAL,51,"2,199,463",2.318747803
Hyderabad,Urban,Middle,INSTITUTIONS,MALE,12,"2,199,463",0.545587718
Hyderabad,Urban,Middle,INSTITUTIONS,FEMALE,19,"2,199,463",0.863847221
Hyderabad,Urban,Middle,INSTITUTIONS,MIXED,20,"2,199,463",0.909312864
Hyderabad,Urban,Middle,ENROLMENT,TOTAL,17939,"2,199,463",815.6081734
Hyderabad,Urban,Middle,ENROLMENT,MALE,7547,"2,199,463",343.1292093
Hyderabad,Urban,Middle,ENROLMENT,FEMALE,10392,"2,199,463",472.4789642
Hyderabad,Urban,Middle,TEACHING STAFF,TOTAL,1329,"2,199,463",60.42383982
Hyderabad,Urban,Middle,TEACHING STAFF,MALE,581,"2,199,463",26.4155387
Hyderabad,Urban,Middle,TEACHING STAFF,FEMALE,748,"2,199,463",34.00830112
Hyderabad,Urban,Secondary,INSTITUTIONS,TOTAL,56,"2,199,463",2.546076019
Hyderabad,Urban,Secondary,INSTITUTIONS,MALE,12,"2,199,463",0.545587718
Hyderabad,Urban,Secondary,INSTITUTIONS,FEMALE,22,"2,199,463",1.000244151
Hyderabad,Urban,Secondary,INSTITUTIONS,MIXED,22,"2,199,463",1.000244151
Hyderabad,Urban,Secondary,ENROLMENT,TOTAL,43381,"2,199,463",1972.345068
Hyderabad,Urban,Secondary,ENROLMENT,MALE,19621,"2,199,463",892.0813853
Hyderabad,Urban,Secondary,ENROLMENT,FEMALE,23760,"2,199,463",1080.263683
Hyderabad,Urban,Secondary,TEACHING STAFF,TOTAL,2813,"2,199,463",127.8948543
